method,eps,alpha,k,trial,seed,wall_sec,frob_resid_noisy,mahal_resid_noisy,frob_err_true,mahal_err_true,rel_frob_err_true,fms
AMDM,0.01,1.05,5,0,4021680,0.038572072982788086,0.012182344915521011,0.0003214987020595145,0.01776974159924186,0.0007345706106178451,0.05611460656833269,0.9985202533122255
ALS,0.01,1.05,5,1,4122735,0.0355679988861084,0.016480122778171815,0.0005598768112286586,0.016359744851514833,0.0005146200347893832,0.051661857073750254,0.9987151599156091
Oracle-AMDM,0.01,1.05,5,1,4122735,0.044473886489868164,0.016735779311401876,0.0005417873995421964,0.015575830420083165,0.00046859435120428806,0.0491863615399111,0.9988343345552109
AMDM,0.01,1.05,5,1,4122735,0.04008293151855469,0.01674452748758475,0.0005439386114556346,0.015697369214127083,0.0004732218326690632,0.049570164579860805,0.9988125549576432
ALS,0.01,1.05,5,2,33114,0.032727718353271484,0.030983695541096555,0.0020601066631942264,0.03461735865476833,0.0021788802074963584,0.10916877295293904,0.9954127900754169
Oracle-AMDM,0.01,1.05,5,2,33114,0.04344677925109863,0.19055765815150236,0.07731414059476069,0.19899803359960364,0.08203460018886151,0.6275571560721622,0.38081320253696516
AMDM,0.01,1.05,5,2,33114,0.03917407989501953,0.03159966599257898,0.002002968541871836,0.032240308007739096,0.0018684119973408626,0.101672542377663,0.996056154838538
ALS,0.01,1.05,5,3,334169,0.03156304359436035,0.04423740789996108,0.003979905758170288,0.03077541119708896,0.0019216829564376718,0.0968158659713658,0.9954385792077469
Oracle-AMDM,0.01,1.05,5,3,334169,0.041914939880371094,0.04491249206276803,0.0038494905343560985,0.029524916116790097,0.0017505561105669773,0.09288195381933195,0.9958783928957697
AMDM,0.01,1.05,5,3,334169,0.038690805435180664,0.04586540010231971,0.00394298099007623,0.031521911093460156,0.001961677029031457,0.09916426786441829,0.9953132783555663
ALS,0.01,1.05,5,4,735224,0.031439781188964844,0.017063856829878463,0.000620723976866863,0.022495412160284802,0.000949686180350303,0.07119387707289461,0.9974841844389479
Oracle-AMDM,0.01,1.05,5,4,735224,0.04202389717102051,0.1960859912688903,0.07813929598344849,0.1983919935547486,0.08039645791838411,0.6278744795047335,0.21521713925026287
AMDM,0.01,1.05,5,4,735224,0.038408756256103516,0.01753608303206745,0.0006023411718340834,0.02169879718220028,0.0008860302639563458,0.06867273594331337,0.9976581620672237
ALS,0.01,1.05,10,0,736284,0.03132915496826172,0.010644306826701243,0.000251955520949091,0.00886467870671804,0.0001673022847938066,0.028008560699941894,0.9995950322478514
Oracle-AMDM,0.01,1.05,10,0,736284,0.044940948486328125,0.13905424570633892,0.04039587876670511,0.1385059070031466,0.04019722315934888,0.4376189179488476,0.7124306008693039
AMDM,0.01,1.05,10,0,736284,0.0391850471496582,0.010831192182848491,0.00024200033842056672,0.008821460157388473,0.0001640970960696482,0.027872008727523167,0.9996064327870215
ALS,0.01,1.05,10,1,837344,0.03252887725830078,0.0189226826367535,0.0007877032465593583,0.017447155718338644,0.0006115214638350682,0.055100847513407596,0.9986195242979905
Oracle-AMDM,0.01,1.05,10,1,837344,0.04281973838806152,0.019349283125392074,0.0007535892344414829,0.01715104577567056,0.0006012034849528685,0.05416568598555991,0.9986215105269223
AMDM,0.01,1.05,10,1,837344,0.038522958755493164,0.019481100407696687,0.0007556295188862826,0.01689165017188112,0.0005848003818053996,0.05334647408415945,0.9986607915778929
ALS,0.01,1.05,10,2,1038404,0.03164386749267578,0.015731805581300003,0.0005518074445039168,0.021004177869237327,0.0008792275827706076,0.06617668191245814,0.9978872207306168
Oracle-AMDM,0.01,1.05,10,2,1038404,0.04494500160217285,0.12445978973686259,0.04127309104049359,0.12485942902723826,0.04077552923973414,0.39338758079212144,0.5793901123782612
AMDM,0.01,1.05,10,2,1038404,0.039433956146240234,0.01597730459253617,0.0005370430801233811,0.020656974390375164,0.0008474138871273637,0.06508276743874708,0.9979787804740432
ALS,0.01,1.05,10,3,1339464,0.03209996223449707,0.1431926605129742,0.04032157979739139,0.14400088430239735,0.04062085445667497,0.454254185837709,0.7742305440522512
Oracle-AMDM,0.01,1.05,10,3,1339464,0.042224884033203125,0.14328435088158809,0.04031867761481009,0.14397823407010743,0.040620845777215225,0.4541827351457376,0.6062170001005007
AMDM,0.01,1.05,10,3,1339464,0.03938484191894531,0.02106920641161402,0.0008185113647964004,0.016743353335232847,0.0005692287904963935,0.05281730299320575,0.9987169023622592
ALS,0.01,1.05,10,4,1740524,0.031620025634765625,0.12853830660750212,0.04039977464023575,0.12858830866185753,0.04049201406624155,0.4064433844185794,0.7704139426090487
Oracle-AMDM,0.01,1.05,10,4,1740524,0.04318714141845703,0.15080067111299067,0.042468655792582036,0.14731793854574377,0.040387403567997845,0.46564421097997705,0.5545048940222418
AMDM,0.01,1.05,10,4,1740524,0.0384366512298584,0.013055566292349672,0.000319524070362284,0.015061499741219436,0.00042566117930071986,0.04760655920390543,0.9990430166431213
ALS,0.01,1.05,20,0,1741594,0.03127121925354004,0.011361957734371597,0.0002721367182719149,0.013484670106209481,0.0003300500485516857,0.042676417131676914,0.9991293460156647
Oracle-AMDM,0.01,1.05,20,0,1741594,0.04224586486816406,0.1437270346332622,0.04018491989712545,0.14385422394471398,0.04030523893749601,0.4552712686972802,0.7601208087091965
AMDM,0.01,1.05,20,0,1741594,0.03940987586975098,0.011592745681836342,0.00026068229074765494,0.01274282854145677,0.0002939699139792233,0.040328629620848294,0.9992316197128759
ALS,0.01,1.05,20,1,1842664,0.03167891502380371,0.14170894614685609,0.04063351526391764,0.14078009200845948,0.040181567316368995,0.44679236698733177,0.7643194377726601
Oracle-AMDM,0.01,1.05,20,1,1842664,0.042315006256103516,0.00968279443469474,0.00018561925576652497,0.009179755245255944,0.0001491847565564658,0.02913369721441737,0.999624794339406
AMDM,0.01,1.05,20,1,1842664,0.03920316696166992,0.009681526701704843,0.00018572010378348786,0.009160404578386011,0.00014831824404530327,0.029072284196921396,0.9996261588908675
ALS,0.01,1.05,20,2,2043734,0.03167986869812012,0.01390160653650137,0.0005096065530807919,0.014552888068799895,0.00039669803908483055,0.04610239299253371,0.9990139971763344
Oracle-AMDM,0.01,1.05,20,2,2043734,0.04248690605163574,0.014260261642361634,0.00048541584282693026,0.014875724906263823,0.000415193978661985,0.0471251144401849,0.9989739305110126
AMDM,0.01,1.05,20,2,2043734,0.03860616683959961,0.014281118871614049,0.0004863635890949062,0.014674771402718763,0.00040488462117697975,0.0464885097092296,0.9990032595568259
ALS,0.01,1.05,20,3,2344804,0.03137087821960449,0.009940878517135744,0.00020106433617213382,0.009168082391618393,0.00015782385959046196,0.02868555024495126,0.9996393327466697
Oracle-AMDM,0.01,1.05,20,3,2344804,0.04201674461364746,0.13052411443963682,0.04002035719976479,0.1306740812754526,0.04017802552583896,0.40885953725358537,0.6018480742794823
AMDM,0.01,1.05,20,3,2344804,0.03847503662109375,0.01011650235737964,0.00019569027085763135,0.009286202163273395,0.00016127623142549597,0.02905512923650018,0.9996271930932155
ALS,0.01,1.05,20,4,2745874,0.032327890396118164,0.1266225533541857,0.040356500280977765,0.12658125151917884,0.04043809511919321,0.3984177260823359,0.7587876114761294
Oracle-AMDM,0.01,1.05,20,4,2745874,0.04436898231506348,0.012237885562896582,0.0002850402211874638,0.012766233500866461,0.0003192091860045437,0.04018204640108736,0.9992525961680997
AMDM,0.01,1.05,20,4,2745874,0.038286685943603516,0.012234094754039079,0.00028548242836006567,0.012905366071153493,0.00032524236805106597,0.040619969723952834,0.9992372888756897
ALS,0.01,1.05,50,0,2746974,0.0318300724029541,0.005753307335361531,6.99571091939411e-05,0.0063130383408969626,8.060357482372366e-05,0.019812518518895882,0.9998065477953337
Oracle-AMDM,0.01,1.05,50,0,2746974,0.044115304946899414,0.1709885421314047,0.04012702703186173,0.17097922214562092,0.04007698040752518,0.5365924967002853,0.7667296930379466
AMDM,0.01,1.05,50,0,2746974,0.03974342346191406,0.005813091373390868,6.775398691192972e-05,0.006201546493672412,7.959554938019703e-05,0.019462618174788598,0.9998096295918328
ALS,0.01,1.05,50,1,2848074,0.031052827835083008,0.12247164458920917,0.03993884135456285,0.1227892175681116,0.040100413644499504,0.3868722235788372,0.741821211262374
Oracle-AMDM,0.01,1.05,50,1,2848074,0.042528629302978516,0.18422524898667572,0.07913556609070764,0.18512781105017131,0.08009963247083686,0.583282549768951,0.254031561898751
AMDM,0.01,1.05,50,1,2848074,0.039576053619384766,0.007281725587861743,0.00010835614760296825,0.005863986772984243,7.397886049785456e-05,0.018475674386009475,0.9998349815582934
ALS,0.01,1.05,50,2,3049174,0.03188610076904297,0.006695724555013883,9.758686151618054e-05,0.007674890194588752,0.00012859565922588364,0.02420257127378775,0.9996999535414919
Oracle-AMDM,0.01,1.05,50,2,3049174,0.04168295860290527,0.19181072040609667,0.08024261097380819,0.19179307514671845,0.08008769565351719,0.6048145906152748,0.35637754078444406
AMDM,0.01,1.05,50,2,3049174,0.03845787048339844,0.006799974360154327,9.27444045784257e-05,0.007500309764918975,0.00012097880011912065,0.02365203632345447,0.9997145607697309
ALS,0.01,1.05,50,3,3350274,0.03190302848815918,0.12467916970663213,0.03990141706436681,0.1248117851404825,0.040159521536038786,0.3925800810365189,0.7720449479783033
Oracle-AMDM,0.01,1.05,50,3,3350274,0.0421299934387207,0.008020243831767457,0.00012825148222388147,0.008742067174924506,0.00015400631381524749,0.02749709441376625,0.999647293706645
AMDM,0.01,1.05,50,3,3350274,0.03899073600769043,0.00802357507387327,0.00012835504121429595,0.008727060754839696,0.00015365404229645584,0.027449893569660606,0.9996473675505071
ALS,0.01,1.05,50,4,3751374,0.03059697151184082,0.13588360895553753,0.040389079203698594,0.13542864195493562,0.04009297800114083,0.4278509407431427,0.6960435944187561
Oracle-AMDM,0.01,1.05,50,4,3751374,0.041230201721191406,0.13591574294652695,0.040393832433927176,0.13540425984154697,0.040085552617084894,0.42777391191083625,0.6707228692884619
AMDM,0.01,1.05,50,4,3751374,0.03926515579223633,0.009128311247671907,0.00016208497497212775,0.0066970474830051405,9.026737396945671e-05,0.02115754853953787,0.9997820589562331
ALS,0.01,1.1,5,0,3752479,0.030951738357543945,0.011149505693384144,0.0005455198787735623,0.015423877034677092,0.0008201545150225871,0.0647488331439521,0.9980079874514457
Oracle-AMDM,0.01,1.1,5,0,3752479,0.041966915130615234,0.13106323561636188,0.08073020388227309,0.13079818096076004,0.08072422046141124,0.5490856530767206,0.314189900504973
AMDM,0.01,1.1,5,0,3752479,0.03890419006347656,0.012019079699520844,0.00047134395717177526,0.014126064134860549,0.000699056639865415,0.059300665299164224,0.9982637890884032
ALS,0.01,1.1,5,1,3853584,0.02940511703491211,0.013666423310472846,0.000906673470864712,0.016109866253437972,0.0010221264565870587,0.06694335028526122,0.9977265860750734
Oracle-AMDM,0.01,1.1,5,1,3853584,0.04340672492980957,0.014149589513308058,0.0008501301618704571,0.01567912856715283,0.0009486682452025403,0.06515345188632847,0.9978874779169384
AMDM,0.01,1.1,5,1,3853584,0.0394439697265625,0.014234793139990903,0.0008582177468611027,0.015198129651782235,0.0008881968269607804,0.06315469669047992,0.9980186272586172
ALS,0.01,1.1,5,2,4054689,0.03525876998901367,0.018135067654892503,0.0014452444821117791,0.01522265051919143,0.001005884341597018,0.06345691978070854,0.9978497805942075
Oracle-AMDM,0.01,1.1,5,2,4054689,0.05553007125854492,0.11044373980516674,0.04067498996352436,0.11179707088376882,0.04091064155979225,0.46603564535923714,0.7284161864594731
AMDM,0.01,1.1,5,2,4054689,0.04561614990234375,0.019617053517310638,0.0013122603216298592,0.015014694874764594,0.0010058164506999492,0.06259003890278898,0.9977860980957953
ALS,0.01,1.1,5,3,65118,0.03584885597229004,0.007411208393379158,0.00023608816487941787,0.009146310375206674,0.0003189573209572751,0.039069786791117854,0.9992665688414432
Oracle-AMDM,0.01,1.1,5,3,65118,0.04899001121520996,0.10007990357375283,0.039349789351401196,0.10164321048976402,0.04028293895658654,0.43418366529137814,0.7441550318028022
AMDM,0.01,1.1,5,3,65118,0.043505191802978516,0.007724730635392887,0.00021754742386664264,0.00855560236865276,0.0002790289496682769,0.03654649215917222,0.9993809534757974
ALS,0.01,1.1,5,4,466223,0.031620025634765625,0.010954038076887714,0.0005301736890850843,0.01723065783211382,0.0007370020480027002,0.07316407529289104,0.998308774392011
Oracle-AMDM,0.01,1.1,5,4,466223,0.04532599449157715,0.09152043285935703,0.04044842293950452,0.0930021641879733,0.04061337386391086,0.39490177388171965,0.7583100630156018
AMDM,0.01,1.1,5,4,466223,0.04414701461791992,0.012018390354095326,0.0004658871750670167,0.015143588851754283,0.0005964936195624996,0.06430205310498077,0.998699940966725
ALS,0.01,1.1,10,0,467333,0.035813093185424805,0.07662914988005787,0.04164143539431987,0.07856710919967985,0.0416118514670758,0.3330337143784672,0.7759672825889796
